id,sentence,subject_entity,object_entity,label,worker1,worker2
0,"컴퓨터 과학자이자 튜링상을 받은 에츠허르 데이크스트라는 ""코볼을 이용하는 일은 마음을 무력하게 만든다.","{'word': '에츠허르 데이크스트라', 'start': 80, 'end': 90, 'type': 'PER'}","{'word': '컴퓨터 과학자', 'start': 62, 'end': 68, 'type': 'POH'}",per:title,per:title,per:title
1,트래블러스 인슈런스(Travelers Insurance)의 CIO 조지프 T. 브로피는 막중한 프로그래밍 비용을 들이는 코볼 사용자들에게 새로운 표준의 구현을 알리는 일을 진두지휘하였다.,"{'word': '조지프 T. 브로피', 'start': 1298, 'end': 1307, 'type': 'PER'}","{'word': 'CIO', 'start': 1294, 'end': 1296, 'type': 'POH'}",per:title,per:title,per:title
2,"단기 위원회 구성원인 진 사멧은 ""전문 프로그래머에게 제공하려는 시도는 거의 없었다.","{'word': '진 사멧', 'start': 1838, 'end': 1841, 'type': 'PER'}","{'word': '구성원', 'start': 1833, 'end': 1835, 'type': 'POH'}",per:title,per:title,per:title
3,"CODASYL 코볼 위원회의 의장인 도널드 넬슨은 1984년에 ""학계가 ... 코볼을 싫어한다""고 말했고 컴퓨터 과학 동문들은 ""'코볼이 싫다'라는 것을 그들에게 주입시켰다""고 말했다.","{'word': '도널드 넬슨', 'start': 2572, 'end': 2577, 'type': 'PER'}","{'word': '의장', 'start': 2568, 'end': 2569, 'type': 'POH'}",per:title,per:title,per:title
4,"설계 과정이 효과적인지에 대한 의구심이 있었다. (가끔은 코볼에 참여한 사람들까지도) 단기 위원회 구성원 호워드 브롬버그는 개발 과정에서 통제가 거의 없었으며 ""소속 인원의 지속성이 없고 ... 재능의 부족으로 홍역을 치렀다""고 말했다.","{'word': '호워드 브롬버그', 'start': 2955, 'end': 2962, 'type': 'PER'}","{'word': '구성원', 'start': 2951, 'end': 2953, 'type': 'POH'}",per:title,per:title,per:title
5,트래블러스 인슈런스(Travelers Insurance)의 CIO 조지프 T. 브로피는 막중한 프로그래밍 비용을 들이는 코볼 사용자들에게 새로운 표준의 구현을 알리는 일을 진두지휘하였다.,"{'word': '트래블러스 인슈런스', 'start': 1261, 'end': 1270, 'type': 'ORG'}","{'word': '조지프 T. 브로피', 'start': 1298, 'end': 1307, 'type': 'ORG'}",no_relation,no_relation,no_relation
6,"단기 위원회 구성원인 진 사멧은 ""전문 프로그래머에게 제공하려는 시도는 거의 없었다.","{'word': '단기 위원회', 'start': 1826, 'end': 1831, 'type': 'ORG'}","{'word': '진 사멧', 'start': 1838, 'end': 1841, 'type': 'ORG'}",no_relation,no_relation,no_relation
7,"CODASYL 코볼 위원회의 의장인 도널드 넬슨은 1984년에 ""학계가 ... 코볼을 싫어한다""고 말했고 컴퓨터 과학 동문들은 ""'코볼이 싫다'라는 것을 그들에게 주입시켰다""고 말했다.","{'word': 'CODASYL 코볼 위원회', 'start': 2552, 'end': 2565, 'type': 'ORG'}","{'word': '도널드 넬슨', 'start': 2572, 'end': 2577, 'type': 'ORG'}",no_relation,no_relation,no_relation
8,"설계 과정이 효과적인지에 대한 의구심이 있었다. (가끔은 코볼에 참여한 사람들까지도) 단기 위원회 구성원 호워드 브롬버그는 개발 과정에서 통제가 거의 없었으며 ""소속 인원의 지속성이 없고 ... 재능의 부족으로 홍역을 치렀다""고 말했다.","{'word': '단기 위원회', 'start': 2944, 'end': 2949, 'type': 'ORG'}","{'word': '호워드 브롬버그', 'start': 2955, 'end': 2962, 'type': 'ORG'}",no_relation,no_relation,no_relation
9,"데이터와 코드의 추가적인 제어는 2002년에 도입되어 객체 지향 프로그래밍, 사용자 지정 함수, 사용자 지정 자료형이 포함되었다.","{'word': '데이터와 코드의 추가적인 제어', 'start': 1066, 'end': 1081, 'type': 'COM'}","{'word': '2002', 'start': 1084, 'end': 1087, 'type': 'DAT'}",com:date_of_prod,com:date_of_produced,com:date_of_produced
