id,sentence,subject_entity,object_entity,label
0,"각 코볼 프로그램은 4개의 어휘 항목을 이룬다; 워드, 리터럴, 픽처(PICTURE) 문자, 구분자(separator). 워드에는 예약어와 사용자 정의 식별자를 포함한다.","{'word': '픽처', 'start': 347, 'end': 348, 'type': 'COM'}","{'word': 'PICTURE', 'start': 350, 'end': 356, 'type': 'COM'}",com:alternative_names
1,"알골과 같은 언어가 절차적 프로그래밍 언어의 표준적인 예이다. 그 밖에 포트란, PL/I, 모듈라-2, 에이다, 베이직, C 등이 있다.","{'word': '절차적 프로그래밍 언어', 'start': 1562, 'end': 1573, 'type': 'COM'}","{'word': '포트란', 'start': 1591, 'end': 1593, 'type': 'COM'}",com:sub_concept
2,"처럼 현대의 간결한 문법과 달리, 코볼은 더욱 영어와 같은 문법을 갖고 있다. (이 경우 ). 코볼 코드는 4개의 디비전(IDENTIFICATION, ENVIRONMENT, DATA, PROCEDURE)으로 나뉘며 이 안에 엄격한 계층적 섹션, 문단, 문장들을 포함한다.","{'word': '디비전', 'start': 901, 'end': 903, 'type': 'COM'}","{'word': 'PROCEDURE', 'start': 940, 'end': 948, 'type': 'COM'}",com:sub_concept
3,"비주얼 스튜디오 2003의 네 가지 에디션은 아카데믹, 프로페셔널, 엔터프라이즈 디벨로퍼, 엔터프라이즈 아키텍트가 있다.","{'word': '비주얼 스튜디오 2003', 'start': 2277, 'end': 2289, 'type': 'COM'}","{'word': '아카데믹', 'start': 2302, 'end': 2305, 'type': 'COM'}",com:sub_concept
4,"유닉스는 어셈블리가 아닌 언어로 구현된 최초의 운영체제 커널 중의 하나였다.(더 빠른 사례는 PL/I로 쓰인 Multics 시스템, ALGOL로 쓰인 Burroughs B5000을 위한 MCP(Master Control Program)가 있다.) 1977년 경, 리치와 스티븐 C. 존슨이 유닉스 운영체제의 이식성을 향상시키기 위해, C 언어를 추가적으로 변경하였다.","{'word': '리치', 'start': 1162, 'end': 1163, 'type': 'PER'}","{'word': '스티븐 C. 존슨', 'start': 1166, 'end': 1174, 'type': 'PER'}",no_relation
5,"데이터와 코드의 추가적인 제어는 2002년에 도입되어 객체 지향 프로그래밍, 사용자 지정 함수, 사용자 지정 자료형이 포함되었다.","{'word': '데이터와 코드의 추가적인 제어', 'start': 1066, 'end': 1081, 'type': 'COM'}","{'word': '객체 지향 프로그래밍', 'start': 1096, 'end': 1106, 'type': 'COM'}",com:sub_concept
6,"그 중에 Go 배포판은 다음을 포함한다: 프로파일링 및 디버깅 지원, 런타임 인스트루먼테이션(이를테면 가비지 컬렉션 일시 정지 등을 위해) 및 레이스 컨디션 테스터(race condition tester)도 포함한다.","{'word': 'Go 배포판', 'start': 2156, 'end': 2161, 'type': 'COM'}","{'word': '런타임 인스트루먼테이션', 'start': 2190, 'end': 2201, 'type': 'COM'}",com:sub_concept
7,"또한 C#라는 새로운 언어를 소개하였으며, 비주얼 J++의 후속작 비주얼 J#을 소개하였다.","{'word': '비주얼 J#', 'start': 1711, 'end': 1716, 'type': 'COM'}","{'word': '비주얼 J++', 'start': 1698, 'end': 1704, 'type': 'COM'}",com:prior_technology
8,"초기의 C++는 C에 클래스 개념만 도입된 것에 지나지 않았으나, 중복, 상속, 가상 함수, 추상 클래스, 예외 처리와 같은 다양한 기능이 추가되면서 점차 향상되고 있다.","{'word': 'C++', 'start': 2040, 'end': 2042, 'type': 'COM'}","{'word': '추상 클래스', 'start': 2088, 'end': 2093, 'type': 'COM'}",com:sub_concept
9,"비주얼 스튜디오 팀 서비스(vsts)는 소스 코드 관리(팀 파운데이션 버전 제어 또는 깃), 보고, 요구 사항 관리, 프로젝트 관리 (애자일 소프트웨어 개발), 테스트 및 출시 관리 기능을 제공하는 마이크로소프트의 제품이다.","{'word': '비주얼 스튜디오 팀 서비스', 'start': 5185, 'end': 5198, 'type': 'COM'}","{'word': '테스트 및 출시 관리 기능', 'start': 5275, 'end': 5288, 'type': 'COM'}",com:sub_concept
